bottle,0.7133589386940002,1311,522,1528,935
person,0.5684033632278442,1463,176,1786,530
backpack,0.5676727294921875,0,248,333,685
couch,0.5555977821350098,16,112,1868,993
potted plant,0.48532867431640625,610,450,878,865
couch,0.44733870029449463,10,161,948,995
teddy bear,0.446921706199646,616,188,753,311
bed,0.4430943727493286,933,99,1905,746
teddy bear,0.43276071548461914,1452,157,1789,533
bed,0.4276065230369568,89,106,1888,940
handbag,0.423031747341156,0,250,365,689
bed,0.38661623001098633,0,145,866,1050
potted plant,0.38484781980514526,464,218,1053,843
chair,0.3669363856315613,594,544,879,936
