dining table,0.8143696188926697,0,338,1279,1013
spoon,0.7828394174575806,589,642,653,840
chair,0.774990439414978,1003,129,1280,328
chair,0.7668067216873169,6,102,432,488
bottle,0.7461773753166199,941,305,1093,612
chair,0.7051112055778503,527,69,971,347
bowl,0.6144663691520691,207,574,548,782
fork,0.6141829490661621,50,700,125,900
cup,0.42943406105041504,728,451,797,597
potted plant,0.3749103248119354,802,1,949,143
knife,0.3736130893230438,682,647,757,865
spoon,0.3524041175842285,682,632,776,871
